canonical_name,ciks_impact,proposed_etf_ticker,asset_class,top_raw_aliases
S&P 500 Index,155,SPY,equity_us_large_cap,"S&P 500 Index | S&P 500 Index reflects no deduction for fees, expenses or taxes | S&P 500 Index reflects no deduction for fees, expenses, or taxes | S&P 500 Index reflects no deductions for fees, expenses or taxes | S&P 500 Index&#160;"
Bloomberg U.s.. Aggregate Bond Index,103,AGG,fi_us_aggregate,"Bloomberg U.S.Aggregate Bond Index | Bloomberg U.S.Aggregate Bond Index reflects no deduction for fees, expenses, or taxes | Bloomberg U.S.Aggregate Bond Index reflects no deductions for fees, expenses or taxes | Bloomberg U.S.Aggregate Bond Index&#160; | Bloomberg U.S.Aggregate Bond Total Return Index"
Russell 3000 Index,68,IWV,equity_us_total,"RUSSELL 3000 Index | Russell 3000 Index | Russell 3000 Index reflects no deduction for fees, expenses, or taxes | Russell 3000 Index reflects no deductions for fees, expenses or taxes | Russell 3000 Index&#160;"
Russell 1000 Growth Index,42,IWF,equity_us_large_growth,"RUSSELL 1000 GROWTH Index | Russell 1000 Growth Index | Russell 1000 Growth Index reflects no deduction for fees, expenses, or taxes | Russell 1000 Growth Index&#160; | Russell 1000 Growth Total Return Index"
Russell 1000 Value Index,41,IWD,equity_us_large_value,"RUSSELL 1000 VALUE Index | Russell 1000 Value Index | Russell 1000 Value Index reflects no deduction for fees, expenses or taxes | Russell 1000 Value Index reflects no deduction for fees, expenses, or taxes | Russell 1000 Value Index reflects no deductions for fees, expenses or taxes"
Russell 1000 Index,41,IWB,equity_us_large_cap,"RUSSELL 1000 Index | Russell 1000 Index | Russell 1000 Index reflects no deduction for fees, expenses, or taxes | Russell 1000 Index reflects no deductions for fees, expenses or taxes | Russell 1000 Index&#160;"
Bloomberg Municipal Bond Index,36,MUB,fi_us_muni,"Bloomberg Municipal Bond Index | Bloomberg Municipal Bond Index reflects no deduction for fees, expenses, or taxes | Bloomberg Municipal Bond Index&#160;"
MSCI EAFE Index,33,EFA,equity_developed_ex_us,"MSCI EAFE Index | MSCI EAFE Index reflects no deduction for fees, expenses, or taxes, except foreign withholding taxes | MSCI EAFE Index reflects no deductions for fees, expenses or taxes | MSCI EAFE Index&#160; | MSCI EAFE NR Index"
Russell 2000 Index,30,IWM,equity_us_small,"RUSSELL 2000 Index | Russell 2000 Index | Russell 2000 Index reflects no deductions for fees, expenses or taxes | Russell 2000 Index&#160; | Russell 2000 Total Return Index"
MSCI Emerging Markets Index,27,EEM,equity_emerging,"MSCI Emerging Markets Index | MSCI Emerging Markets Index reflects no deductions for fees, expenses or taxes | MSCI Emerging Markets Index&#160; | MSCI Emerging Markets Total Return Index"
